"games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","age","Ratings_2k","total_fouls","Salary_pct","year","name","full_name","primary_position","All_Nba","All_Nba_team"
0.27,0.02,0.13,0.12,0.14,0.07,0.04,0.16,0.51,0.23,0.05,0.5,0.45,0.31,0.29,0.33,0.32,0.21,0.0204854977039729,2020,"Kings","Glenn Robinson III","SF","0","0"
0.43,0,0.07,0.05,0.11,0.09,0.02,0.12,0.51,0.18,0.12,0.53,0.5,0.15,0.05,0.21,0.32,0.13,0.0267120992874726,2020,"Kings","Justin James","SF","0","0"
0.15,0,0.01,0.08,0.15,0,0.06,0.06,0.39,0.14,0,0.42,0.45,0.38,0,0.12,0.18,0.06,0.0263946239839275,2020,"Kings","Robert Woodard II","SF","0","0"
0.76,0.77,0.4,0.24,0.18,0.34,0.05,0.73,0.55,0.72,0.47,0.5,0.2,0.1,0.1,0.17,0.74,0.38,0.115943105409876,2020,"Hawks","Trae Young","PG","0","0"
0.37,0,0.08,0.07,0.22,0.08,0,0.11,0.42,0.17,0.09,0.4,0.2,0.04,0.05,0.21,0.32,0.13,0.00940742642848709,2020,"Kings","Kyle Guy","SG","0","0"
0.85,0.87,0.37,0.31,0.1,0.38,0.27,0.56,0.53,0.53,0.49,0.54,0.5,0.18,0.29,0.29,0.47,0.46,0.521508668629078,2020,"Warriors","Andrew Wiggins","SF","0","0"
0.2,0.01,0.2,0.11,0.04,0.24,0.05,0.11,0.54,0.2,0.07,0.56,0.6,0.38,0.52,0.62,0.32,0.35,0.0210014105213683,2020,"Jazz","Ersan Ilyasova","PF","0","0"
0.62,0.63,0.36,0.41,0.2,0.63,0.11,0.68,0.58,0.78,0.7,0.57,0.5,0.32,0.43,0.46,0.91,0.32,0.606913074169644,2020,"Clippers","Kawhi Leonard","SF","1","1"
0.52,0.33,0.62,0.23,0.21,0.45,0.08,0.45,0.57,0.52,0.44,0.6,0.45,0.3,0.14,0.42,0.47,0.46,0.317721163580945,2020,"Hawks","Bogdan Bogdanovic","SG","0","0"
0.56,0.06,0.13,0.09,0.2,0.15,0,0.18,0.44,0.22,0.13,0.45,0.15,0.1,0.1,0.29,0.32,0.18,0.0299539810201082,2020,"Hawks","Brandon Goodwin","PG","0","0"
0.27,0.23,0.25,0.3,0.12,0.33,0.14,0.42,0.56,0.49,0.33,0.55,0.55,0.32,0.05,0.17,0.47,0.55,0.130954367468384,2020,"Hawks","De'Andre Hunter","SF","0","0"
0.39,0,0.08,0.07,0.26,0.17,0.02,0.11,0.53,0.21,0.13,0.52,0.35,0.22,0,0.21,0.21,0.09,0.00930731603578921,2020,"Hawks","Skylar Mays","SG","0","0"
0.3,0.26,0.24,0.25,0.08,0.51,0.1,0.39,0.45,0.35,0.33,0.43,0.55,0.29,0.05,0.12,0.35,0.55,0.0786215272644111,2020,"Hawks","Cam Reddish","SF","0","0"
0.83,0.6,0.38,0.21,0.23,0.48,0.07,0.38,0.5,0.42,0.32,0.53,0.5,0.15,0.1,0.17,0.38,0.49,0.0486752777323074,2020,"Hawks","Kevin Huerter","SG","0","0"
0.6,0.05,0,0.2,0.05,0.19,0.18,0.12,0.61,0.28,0.15,0.64,0.55,0.38,0,0.04,0.29,0.41,0.102556915757702,2020,"Hawks","Onyeka Okongwu","C","0","0"
0.39,0,0.03,0.14,0.04,0.11,0.08,0.13,0.46,0.2,0.06,0.4,0.65,0.47,0,0.21,0.21,0.14,0.00914436739130794,2020,"Hawks","Nathan Knight","PF","0","0"
0.04,0,0,0.09,0.05,0.2,0.14,0.12,0.17,0.11,0,0.08,0.3,0.22,0.19,0.33,0.32,0.61,0.084077278824137,2020,"Hawks","Kris Dunn","PG","0","0"
0.61,0.05,0.38,0.26,0.14,0.24,0.05,0.37,0.57,0.43,0.19,0.54,0.65,0.36,0.52,0.58,0.44,0.43,0.344205394453402,2020,"Hawks","Danilo Gallinari","SF","0","0"
0.39,0,0,0.15,0.04,0.05,0.02,0.06,0.44,0.17,0.06,0.41,0.6,0.4,0.05,0.17,0.21,0.15,0.0267120992874726,2020,"Hawks","Bruno Fernando","C","0","0"
0.76,0.77,0.25,0.46,0.07,0.22,0.27,0.47,0.6,0.61,0.29,0.61,0.6,0.38,0.14,0.21,0.59,0.64,0.0729592340161878,2020,"Hawks","John Collins","PF","0","0"
0.52,0.01,0.1,0.06,0.11,0.09,0,0.09,0.54,0.18,0.08,0.55,0.5,0.25,0.05,0.21,0.32,0.14,0.0101305165559208,2020,"Clippers","Amir Coffey","SG","0","0"
0.56,0.28,0.25,0.15,0.22,0.11,0.06,0.13,0.66,0.28,0.08,0.7,0.45,0.26,0.33,0.42,0.32,0.33,0.214937117151871,2020,"Hawks","Tony Snell","SG","0","0"
0.02,0,0.19,0.08,0.06,0.13,0,0.32,0.38,0.18,0.33,0.39,0,0.12,0.43,0.54,0.32,0.2,0.00273004557938429,2020,"Pelicans","Isaiah Thomas","PG","0","0"
0.8,0.12,0.11,0.23,0.2,0.17,0.05,0.2,0.56,0.34,0.16,0.56,0.4,0.28,0.05,0.21,0.38,0.39,0.0267120992874726,2020,"Clippers","Terance Mann","SG","0","0"
0.7,0.71,0,0.55,0.11,0.38,0.18,0.22,0.55,0.48,0.08,0.61,0.7,0.52,0.33,0.38,0.44,0.41,0.522403570790258,2020,"Pelicans","Steven Adams","C","0","0"
0,0,0,0,0,0,0,0.03,0,0.05,0,0,0.65,0.37,0,0.17,0.32,0.2,0.00593963420650942,2020,"Pelicans","Will Magnay","C","0","0"
0.38,0.12,0.17,0.29,0.18,0.33,0.08,0.26,0.47,0.36,0.21,0.46,0.5,0.3,0,0.17,0.24,0.38,0.00941630747390632,2020,"Pelicans","Naji Marshall","SF","0","0"
0.85,0.85,0.32,0.22,0.18,0.31,0.09,0.39,0.49,0.4,0.28,0.5,0.2,0.27,0.48,0.5,0.35,0.34,0.297857990426603,2020,"Pelicans","Eric Bledsoe","PG","0","0"
0.02,0,0.13,0.06,0.08,0.27,0,0.15,0.29,0.13,0,0.31,0.4,0.25,0,0.12,0.12,0.34,0.00208308878763193,2020,"Pelicans","Didi Louzada","SG","0","0"
0.65,0,0.14,0.08,0.28,0.28,0.05,0.23,0.44,0.26,0.21,0.44,0.2,0.05,0,0.04,0.24,0.33,0.064182324592748,2020,"Pelicans","Kira Lewis Jr.","PG","0","0"
0.56,0.15,0,0.44,0.11,0.19,0.13,0.22,0.55,0.43,0.13,0.56,0.7,0.45,0.19,0.33,0.32,0.3,0.0305816926040932,2020,"Pelicans","Willy Hernangomez","C","0","0"
0.73,0.74,0.03,0.45,0.1,0.38,0.17,0.71,0.6,0.79,0.61,0.62,0.5,0.62,0.05,0.08,0.74,0.45,0.180806164924226,2020,"Pelicans","Zion Williamson","PF","0","0"
0.72,0.04,0.02,0.27,0.07,0.17,0.17,0.19,0.63,0.36,0.23,0.64,0.7,0.3,0.05,0.08,0.35,0.35,0.0900478838320235,2020,"Pelicans","Jaxson Hayes","C","0","0"
0.1,0,0.08,0.06,0.12,0,0,0.05,0.5,0.14,0.02,0.54,0.5,0.22,0.1,0.5,0.32,0.02,0.00181150182811185,2020,"Pelicans","James Nunnally","SF","0","0"
0.24,0,0.12,0.16,0.06,0.17,0.1,0.11,0.49,0.22,0.1,0.51,0.6,0.22,0.05,0.21,0.18,0.32,0.028523320524532,2020,"Pelicans","Wenyen Gabriel","PF","0","0"
0.66,0.67,0.59,0.3,0.2,0.6,0.15,0.45,0.51,0.53,0.34,0.54,0.45,0.15,0.14,0.17,0.53,0.38,0.194194861750256,2020,"Pelicans","Lonzo Ball","PG","0","0"
0.55,0.16,0.31,0.2,0.11,0.41,0.13,0.36,0.48,0.36,0.27,0.5,0.45,0.22,0.05,0.17,0.32,0.4,0.0548768252334017,2020,"Pelicans","Nickeil Alexander-Walker","SG","0","0"
0.8,0.46,0.31,0.3,0.21,0.42,0.15,0.22,0.57,0.41,0.21,0.6,0.55,0.35,0.57,0.54,0.38,0.31,0.204867106328007,2020,"Clippers","Nicolas Batum","SF","0","0"
0.33,0,0.08,0.06,0.14,0.1,0.02,0.06,0.56,0.17,0.02,0.6,0.4,0.45,0.05,0.25,0.18,0.12,0.00892537811430056,2020,"Jazz","Jarrell Brantley","PF","0","0"
0.39,0.05,0.07,0.13,0.06,0.1,0.07,0.12,0.48,0.2,0.09,0.5,0.65,0.34,0.05,0.08,0.21,0.27,0.0497770217366016,2020,"Spurs","Luka Samanic","PF","0","0"
0.26,0,0.07,0.03,0.18,0.04,0.01,0.06,0.53,0.15,0.01,0.54,0.2,0.12,0,0.17,0.15,0.07,0.00784003667699339,2020,"Wizards","Cassius Winston","PG","0","0"
0.68,0.7,0.15,0.34,0.09,0.31,0.03,0.43,0.51,0.45,0.41,0.51,0.55,0.35,0.05,0.17,0.41,0.43,0.0827678984498028,2020,"Wizards","Rui Hachimura","PF","0","0"
0.39,0.05,0.13,0.06,0.13,0.22,0.03,0.09,0.47,0.17,0.1,0.51,0.35,0.2,0.14,0.17,0.32,0.28,0.108965004947294,2020,"Knicks","Frank Ntilikina","PG","0","0"
0.85,0.87,0.42,0.64,0.14,0.36,0.07,0.73,0.53,0.77,0.56,0.52,0.55,0.45,0.29,0.29,0.68,0.68,0.350296767554067,2020,"Knicks","Julius Randle","PF","1","2"
0.5,0,0.16,0.09,0.09,0.12,0.04,0.12,0.5,0.19,0.11,0.51,0.5,0.28,0.1,0.12,0.24,0.18,0.0809288334580194,2020,"Knicks","Kevin Knox II","SF","0","0"
0.77,0.5,0,0.4,0.05,0.44,0.6,0.14,0.59,0.42,0.14,0.61,0.7,0.3,0.29,0.33,0.41,0.57,0.0881911626863252,2020,"Knicks","Nerlens Noel","C","0","0"
0.72,0.73,0.41,0.3,0.11,0.46,0.1,0.9,0.55,0.75,0.71,0.53,0.3,0.23,0.38,0.38,0.74,0.5,0.507556140183927,2020,"Wizards","Bradley Beal","SG","1","3"
0.17,0,0,0.05,0,0.03,0.07,0.03,0.55,0.14,0.02,0.44,0.65,0.6,0,0.12,0.18,0.12,0.0348166094013685,2020,"Jazz","Udoka Azubuike","C","0","0"
0.61,0.62,0.51,0.22,0.24,0.55,0.05,0.47,0.55,0.55,0.34,0.55,0.2,0.07,0.62,0.58,0.56,0.39,0.60908534609811,2020,"Jazz","Mike Conley","PG","0","0"
0.85,0.11,0.01,0.24,0.06,0.08,0.17,0.23,0.61,0.37,0.19,0.64,0.75,0.6,0.57,0.58,0.35,0.32,0.128800316690758,2020,"Wizards","Robin Lopez","C","0","0"
0.2,0.07,0.12,0.14,0.1,0.29,0.1,0.21,0.37,0.21,0.22,0.35,0.35,0.15,0.1,0.21,0.32,0.37,0.0659006214917529,2020,"Wizards","Jerome Robinson","SG","0","0"
