"year","name","full_name","primary_position","games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","All_Nba","All_Nba_team","age","Ratings_2k","total_fouls","Salary_pct","SalaryLabel"
2020,"Kings","Kyle Guy","SG",31,0,42,1.13,2.91,0.19,0,3.12,44.9,2.77,0.55,40.3,73,167,1,0,0,23,75,0.65,0.49284222100055,"below average"
2020,"Warriors","Andrew Wiggins","SF",71,71,197,4.89,1.33,0.94,0.99,16.38,56.8,17.24,2.93,54.3,79,197,6,0,0,25,80,2.24,27.0679952354774,"superstar"
2020,"Jazz","Ersan Ilyasova","PF",17,1,106,1.71,0.5,0.59,0.18,3.31,57.8,4.12,0.41,55.6,81,235,11,0,0,33,75,1.71,1.09450430639546,"below average"
2020,"Clippers","Kawhi Leonard","SF",52,52,194,6.48,2.56,1.56,0.4,19.96,62.2,27.27,4.21,56.8,79,225,9,1,1,29,95,1.58,31.5,"superstar"
2020,"Hawks","Bogdan Bogdanovic","SG",44,27,332,3.64,2.72,1.11,0.3,13.28,61.6,16.66,2.64,60.2,78,220,3,0,0,28,80,2.25,16.4925783397471,"star"
2020,"Hawks","Brandon Goodwin","PG",47,5,68,1.47,2.64,0.36,0,5.15,47.1,4.66,0.79,44.8,72,180,2,0,0,25,75,0.87,1.55909199193696,"below average"
2020,"Hawks","De'Andre Hunter","SF",23,19,135,4.78,1.52,0.83,0.52,12.41,60.3,15.65,1.96,54.6,80,225,1,0,0,22,80,2.7,6.80043980208906,"average"
2020,"Hawks","Skylar Mays","SG",33,0,42,1.06,3.33,0.42,0.06,3.3,56.9,4.21,0.76,52,76,205,0,0,0,23,71,0.45,0.487647058823529,"below average"
2020,"Hawks","Cam Reddish","SF",26,21,127,4,1.03,1.27,0.35,11.5,48.8,9.88,2,42.8,80,218,1,0,0,21,76,2.66,4.08466190214403,"average"
2020,"Hawks","Kevin Huerter","SG",69,49,203,3.35,3.05,1.19,0.26,11,54.1,12.84,1.9,52.8,79,190,2,0,0,22,77,2.39,2.5306212204508,"below average"
2020,"Hawks","Onyeka Okongwu","C",50,4,0,3.26,0.62,0.46,0.66,3.48,65.5,7.24,0.88,64.4,80,235,0,0,0,19,74,2,5.32677295217152,"average"
2020,"Hawks","Nathan Knight","PF",33,0,18,2.18,0.53,0.27,0.3,3.76,49.9,4.06,0.39,40,82,253,0,0,0,23,71,0.67,0.479190947407,"below average"
